site,year,flight_date,flight_id,source_file,site_treeid,treeTop_x,treeTop_y,treeTop_x_std,treeTop_y_std
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5972,648003.299993,4870901.174989001,0.14966629548589205,0.09797958980257773
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5973,648005.059993,4870901.934989,0.09797958968851447,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5974,648006.859993,4870902.534989,0.0979795897455461,0.14966629531165754
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5976,648010.699993,4870903.774989,0.1496662954734467,0.09797958980257773
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5977,648012.7399929999,4870904.494988999,0.12649110641409791,0.12649110623002913
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5978,648014.539993,4870905.094989,0.12649110637728417,0.12649110652453918
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5979,648016.4599929999,4870905.734989,0.09797958968851447,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5980,648018.379993,4870906.414989,0.1496662954734467,0.09797958934632471
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5982,648022.2199929999,4870907.854989,0.0979795897455461,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5985,648027.779993,4870909.974988999,0.14966629548589203,0.09797958980257773
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5986,648029.659993,4870910.534988999,0.09797958968851447,0.14966629531165754
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5987,648031.499993,4870911.374989,0.14966629543611076,0.09797958934632471
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5988,648033.299993,4870911.974989,0.14966629548589205,0.09797958980257773
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5989,648035.259993,4870912.734989,0.09797958974554609,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5991,648038.939993,4870913.854989,0.12649110641409791,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5992,648040.7399929999,4870914.6949889995,0.12649110641409791,0.12649110652453918
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5779,647911.539993,4870866.094989,0.12649110637728417,0.12649110652453918
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5780,647913.4599929999,4870866.854989,0.09797958968851447,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5781,647915.659993,4870867.6549889995,0.09797958968851447,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5782,647917.259993,4870868.334989,0.0979795897455461,0.14966629521209496
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5783,647919.379993,4870869.014989,0.1496662954734467,0.09797958980257772
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5784,647921.059993,4870869.6549889995,0.09797958968851447,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5786,647924.939993,4870870.894989,0.12649110641409791,0.12649110652453918
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5787,647926.8599929999,4870871.734989,0.09797958974554609,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5788,647928.859993,4870872.334989,0.0979795897455461,0.14966629521209496
