site,date,Cluster,Genotype,wp_pd
PIK,2023-09-07,N,889,0.526
PIK,2023-10-13,N,889,0.458
PIK,2023-05-06,H,788,0.348
PIK,2023-06-21,L,788,0.238
PIK,2023-07-25,L,2218,0.1165
PIK,2023-08-19,L,788,0.137
PIK,2023-09-07,L,788,0.608
PIK,2023-10-13,L,788,0.283
PIK,2023-05-06,H,953,0.43
PIK,2023-06-21,B,953,0.382
PIK,2023-07-25,B,1199,0.1655
PIK,2023-08-19,B,953,0.39
PIK,2023-09-07,B,953,0.516
PIK,2023-10-13,B,953,0.275
PIK,2023-05-06,H,2106,0.317
PIK,2023-06-21,E,2106,0.328
PIK,2023-07-25,E,599,0.1455
PIK,2023-08-19,E,2106,0.15
PIK,2023-09-07,E,2106,0.455
PIK,2023-10-13,E,2106,0.425
PIK,2023-05-06,H,2054,0.223
PIK,2023-06-21,I,2054,0.318
PIK,2023-07-25,I,2089,0.145
PIK,2023-08-19,I,2054,0.372
PIK,2023-09-07,I,2054,0.314
PIK,2023-10-13,I,2054,0.405
PIK,2023-05-06,H,2080,0.268
PIK,2023-06-21,J,2080,0.187
PIK,2023-07-25,J,1420,0.129
PIK,2023-08-19,J,2080,0.119
PIK,2023-09-07,J,2080,0.46
PIK,2023-10-13,J,2080,0.356
PIK,2023-05-06,H,1069,0.252
PIK,2023-06-21,B,1069,0.341
PIK,2023-07-25,B,318,0.107
PIK,2023-08-19,B,1069,0.418
PIK,2023-09-07,B,1069,0.554
PIK,2023-10-13,B,1069,0.458
PIK,2023-05-06,I,1412,0.218
PIK,2023-06-21,I,1412,0.298
PIK,2023-07-25,I,2054,0.114
PIK,2023-08-19,I,1412,0.209
PIK,2023-09-07,I,1412,0.458
PIK,2023-10-13,I,1412,0.468
PIK,2023-05-06,I,2089,0.601
PIK,2023-06-21,B,2089,0.328
PIK,2023-07-25,B,1222,0.1045
PIK,2023-08-19,B,2089,0.282
PIK,2023-09-07,B,2089,0.739
PIK,2023-10-13,B,2089,0.332
PIK,2023-05-06,I,2054,0.339
PIK,2023-06-21,B,2054,0.358
PIK,2023-07-25,B,295,0.106
PIK,2023-08-19,B,2054,0.175
PIK,2023-09-07,B,2054,0.543
PIK,2023-10-13,B,2054,0.561
PIK,2023-05-06,I,2153,0.26
PIK,2023-06-21,B,2153,0.276
PIK,2023-07-25,B,159,0.138
PIK,2023-08-19,B,2153,0.259
PIK,2023-09-07,B,2153,0.462
PIK,2023-10-13,B,2153,0.453
PIK,2023-05-06,I,1721,0.167
PIK,2023-06-21,I,1721,0.398
PIK,2023-07-25,I,2153,0.1095
PIK,2023-08-19,I,1721,0.23
PIK,2023-09-07,I,1721,0.374
PIK,2023-10-13,I,1721,0.502
PIK,2023-05-06,I,1508,0.38
PIK,2023-06-21,I,1508,0.49
PIK,2023-07-25,I,1721,0.125
PIK,2023-08-19,I,1508,0.382
PIK,2023-09-07,I,1508,0.347
PIK,2023-10-13,I,1508,0.499
PIK,2023-05-06,I,886,0.285
PIK,2023-06-21,J,886,0.348
PIK,2023-07-25,J,2089,0.1725
PIK,2023-08-19,J,886,0.117
PIK,2023-09-07,J,886,0.388
PIK,2023-10-13,J,886,0.44
PIK,2023-05-06,I,599,0.21
PIK,2023-06-21,B,599,0.275
PIK,2023-07-25,B,2006,0.181
PIK,2023-08-19,B,599,0.539
PIK,2023-09-07,B,599,0.571
PIK,2023-10-13,B,599,0.336
PIK,2023-05-06,J,1420,0.359
PIK,2023-06-21,E,1420,0.458
PIK,2023-07-25,E,886,0.1725
PIK,2023-08-19,E,1420,0.207
PIK,2023-09-07,E,1420,0.175
PIK,2023-10-13,E,1420,0.385
PIK,2023-05-06,J,2089,0.48
PIK,2023-06-21,N,2089,0.418
PIK,2023-07-25,N,318,0.2425
PIK,2023-08-19,N,2089,0.251
PIK,2023-09-07,N,2089,0.646
PIK,2023-10-13,N,2089,0.481
PIK,2023-05-06,J,2106,0.63
PIK,2023-06-21,B,2106,0.551
PIK,2023-07-25,B,2218,0.103
PIK,2023-08-19,B,2106,0.501
PIK,2023-09-07,B,2106,0.639
PIK,2023-10-13,B,2106,0.528
PIK,2023-05-06,J,2054,0.29
PIK,2023-06-21,L,2054,0.381
PIK,2023-07-25,L,889,0.132
PIK,2023-08-19,L,2054,0.344
PIK,2023-09-07,L,2054,0.42
PIK,2023-10-13,L,2054,0.387
PIK,2023-05-06,J,486,0.373
PIK,2023-06-21,I,486,0.485
PIK,2023-07-25,I,1508,0.1035
PIK,2023-08-19,I,486,0.464
PIK,2023-09-07,I,486,0.437
PIK,2023-10-13,I,486,0.317
PIK,2023-05-06,J,1412,0.232
PIK,2023-06-21,J,1412,0.279
PIK,2023-07-25,J,2106,0.117
PIK,2023-08-19,J,1412,0.178
PIK,2023-09-07,J,1412,0.492
PIK,2023-10-13,J,1412,0.437
PIK,2023-05-06,J,1508,0.308
PIK,2023-06-21,N,1508,0.328
PIK,2023-07-25,N,2153,0.1435
PIK,2023-08-19,N,1508,0.168
PIK,2023-09-07,N,1508,0.825
PIK,2023-10-13,N,1508,0.391
