Title,Authors,Is in PCA*?,Citation,DOI,# Cells,COPO Link,Viewer(s),Species
<div title='A high-resolution transcriptomic atlas depicting nitrogen fixation and nodule development in soybean' class='scea-table'>A high-resolution transcriptomic atlas depicting nitrogen fixation and nodule development in soybean</div>,"<div title='Sun B, Wang Y, Yang Q, Gao H, Niu H, Li Y, Ma Q, Huan Q, Qian W, Ren B' class='scea-table'>Sun B, Wang Y, Yang Q, Gao H, Niu H, Li Y, Ma Q, Huan Q, Qian W, Ren B</div>",,<div title='J Integr Plant Biol. 2023 Jun;65(6):1536-1552. doi: 10.1111/jipb.13495. Epub 2023 May 22.' class='scea-table'>J Integr Plant Biol. 2023 Jun;65(6):1536-1552. doi: 10.1111/jipb.13495. Epub 2023 May 22.</div>,<a href='http://dx.doi.org/10.1111/jipb.13495'>10.1111/jipb.13495</a>,42775,,,<i>Glycine max</i>
<div title='Single-cell RNA sequencing provides a high-resolution roadmap for understanding the multicellular compartmentation of specialized metabolism' class='scea-table'>Single-cell RNA sequencing provides a high-resolution roadmap for understanding the multicellular compartmentation of specialized metabolism</div>,"<div title='Sun S, Shen X, Li Y, Li Y, Wang S, Li R, Zhang H, Shen G, Guo B, Wei J, Xu J, St-Pierre B, Chen S, Sun C' class='scea-table'>Sun S, Shen X, Li Y, Li Y, Wang S, Li R, Zhang H, Shen G, Guo B, Wei J, Xu J, St-Pierre B, Chen S, Sun C</div>",,<div title='Nat Plants. 2023 Jan;9(1):179-190. doi: 10.1038/s41477-022-01291-y. Epub 2022 Dec 15.' class='scea-table'>Nat Plants. 2023 Jan;9(1):179-190. doi: 10.1038/s41477-022-01291-y. Epub 2022 Dec 15.</div>,<a href='http://dx.doi.org/10.1038/s41477-022-01291-y'>10.1038/s41477-022-01291-y</a>,41981,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP335448.h5ad'>scPlantDB</a>,<i>Catharanthus roseus</i>
<div title='Single-cell transcriptome reveals dominant subgenome expression and transcriptional response to heat stress in Chinese cabbage' class='scea-table'>Single-cell transcriptome reveals dominant subgenome expression and transcriptional response to heat stress in Chinese cabbage</div>,"<div title='Sun X, Feng D, Liu M, Qin R, Li Y, Lu Y, Zhang X, Wang Y, Shen S, Ma W, Zhao J' class='scea-table'>Sun X, Feng D, Liu M, Qin R, Li Y, Lu Y, Zhang X, Wang Y, Shen S, Ma W, Zhao J</div>",,<div title='Genome Biol. 2022 Dec 19;23(1):262. doi: 10.1186/s13059-022-02834-4.' class='scea-table'>Genome Biol. 2022 Dec 19;23(1):262. doi: 10.1186/s13059-022-02834-4.</div>,<a href='http://dx.doi.org/10.1186/s13059-022-02834-4'>10.1186/s13059-022-02834-4</a>,47297,,,<i>Brassica rapa ssp. pekinensis</i>
<div title='Spatiotemporal transcriptome and metabolome landscapes of cotton fiber during initiation and early development' class='scea-table'>Spatiotemporal transcriptome and metabolome landscapes of cotton fiber during initiation and early development</div>,"<div title='Sun X, Qin A, Wang X, Ge X, Liu Z, Guo C, Yu X, Zhang X, Lu Y, Yang J, He J, Zhou Y, Liu Y, Hu M, Liu H, Zhao Z, Hu G, Li W, Zang X, Dai S, Sun S, Yong-Villalobos L, Herrera-Estrella L, Tran LP, Ma X' class='scea-table'>Sun X, Qin A, Wang X, Ge X, Liu Z, Guo C, Yu X, Zhang X, Lu Y, Yang J, He J, Zhou Y, Liu Y, Hu M, Liu H, Zhao Z, Hu G, Li W, Zang X, Dai S, Sun S, Yong-Villalobos L, Herrera-Estrella L, Tran LP, Ma X</div>",,<div title='Nat Commun. 2025 Jan 20;16(1):858. doi: 10.1038/s41467-025-55869-z.' class='scea-table'>Nat Commun. 2025 Jan 20;16(1):858. doi: 10.1038/s41467-025-55869-z.</div>,<a href='http://dx.doi.org/10.1038/s41467-025-55869-z'>10.1038/s41467-025-55869-z</a>,n/a,,,<i>Gossypium hirsutum</i>
<div title='Progressive meristem and single-cell transcriptomes reveal the regulatory mechanisms underlying maize inflorescence development and sex differentiation' class='scea-table'>Progressive meristem and single-cell transcriptomes reveal the regulatory mechanisms underlying maize inflorescence development and sex differentiation</div>,"<div title='Sun Y, Dong L, Kang L, Zhong W, Jackson D* , Yang F' class='scea-table'>Sun Y, Dong L, Kang L, Zhong W, Jackson D* , Yang F</div>",Yes,<div title='Mol Plant. 2024 Jul 1;17(7):1019-1037. doi: 10.1016/j.molp.2024.06.007. Epub 2024 Jun 13.' class='scea-table'>Mol Plant. 2024 Jul 1;17(7):1019-1037. doi: 10.1016/j.molp.2024.06.007. Epub 2024 Jun 13.</div>,<a href='http://dx.doi.org/10.1016/j.molp.2024.06.007'>10.1016/j.molp.2024.06.007</a>,56854,,,<i>Zea mays</i>
<div title='Single-cell transcriptomic analysis reveals the developmental trajectory and transcriptional regulatory networks of pigment glands in Gossypium bickii' class='scea-table'>Single-cell transcriptomic analysis reveals the developmental trajectory and transcriptional regulatory networks of pigment glands in Gossypium bickii</div>,"<div title='Sun Y, Han Y, Sheng K, Yang P, Cao Y, Li H, Zhu QH, Chen J, Zhu S, Zhao T' class='scea-table'>Sun Y, Han Y, Sheng K, Yang P, Cao Y, Li H, Zhu QH, Chen J, Zhu S, Zhao T</div>",,<div title='Mol Plant. 2023 Apr 3;16(4):694-708. doi: 10.1016/j.molp.2023.02.005. Epub 2023 Feb 10.' class='scea-table'>Mol Plant. 2023 Apr 3;16(4):694-708. doi: 10.1016/j.molp.2023.02.005. Epub 2023 Feb 10.</div>,<a href='http://dx.doi.org/10.1016/j.molp.2023.02.005'>10.1016/j.molp.2023.02.005</a>,12222,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP424189.h5ad'>scPlantDB</a>,<i>Gossypium bickii</i>
<div title='Single-cell RNA-seq of Lotus japonicus provide insights into identification and function of root cell types of legume' class='scea-table'>Single-cell RNA-seq of Lotus japonicus provide insights into identification and function of root cell types of legume</div>,"<div title='Sun Z, Jiang S, Wang D, Li L, Liu B, Ran Q, Hu L, Xiong J, Tang Y, Gu X, Wu Y, Liang Z' class='scea-table'>Sun Z, Jiang S, Wang D, Li L, Liu B, Ran Q, Hu L, Xiong J, Tang Y, Gu X, Wu Y, Liang Z</div>",,<div title='J Integr Plant Biol. 2023 May;65(5):1147-1152. doi: 10.1111/jipb.13435. Epub 2023 Jan 31.' class='scea-table'>J Integr Plant Biol. 2023 May;65(5):1147-1152. doi: 10.1111/jipb.13435. Epub 2023 Jan 31.</div>,<a href='http://dx.doi.org/10.1111/jipb.13435'>10.1111/jipb.13435</a>,22688,,,<i>Lotus japonicus</i>
<div title='Single-nucleus RNA sequencing of plant tissues using a nanowell-based system' class='scea-table'>Single-nucleus RNA sequencing of plant tissues using a nanowell-based system</div>,"<div title='Sunaga-Franze DY, Muino JM, Braeuning C, Xu X, Zong M, Smaczniak C, Yan W, Fischer C, Vidal R, Kliem M, Kaufmann K, Sauer S' class='scea-table'>Sunaga-Franze DY, Muino JM, Braeuning C, Xu X, Zong M, Smaczniak C, Yan W, Fischer C, Vidal R, Kliem M, Kaufmann K, Sauer S</div>",,<div title='Plant J. 2021 Nov;108(3):859-869. doi: 10.1111/tpj.15458. Epub 2021 Sep 15.' class='scea-table'>Plant J. 2021 Nov;108(3):859-869. doi: 10.1111/tpj.15458. Epub 2021 Sep 15.</div>,<a href='http://dx.doi.org/10.1111/tpj.15458'>10.1111/tpj.15458</a>,856,,,<i>Arabidopsis thaliana</i>
<div title='Cell-type-specific responses to fungal infection in plants revealed by single-cell transcriptomics' class='scea-table'>Cell-type-specific responses to fungal infection in plants revealed by single-cell transcriptomics</div>,"<div title='Tang B, Feng L, Hulin MT, Ding P, Ma W' class='scea-table'>Tang B, Feng L, Hulin MT, Ding P, Ma W</div>",,<div title='Cell Host Microbe. 2023 Oct 11;31(10):1732-1747.e5. doi: 10.1016/j.chom.2023.08.019. Epub 2023 Sep 22.' class='scea-table'>Cell Host Microbe. 2023 Oct 11;31(10):1732-1747.e5. doi: 10.1016/j.chom.2023.08.019. Epub 2023 Sep 22.</div>,<a href='http://dx.doi.org/10.1016/j.chom.2023.08.019'>10.1016/j.chom.2023.08.019</a>,102486,,,<i>Arabidopsis thaliana</i>
<div title='Single-Cell Transcriptome and Network Analyses Unveil Key Transcription Factors Regulating Mesophyll Cell Development in Maize' class='scea-table'>Single-Cell Transcriptome and Network Analyses Unveil Key Transcription Factors Regulating Mesophyll Cell Development in Maize</div>,"<div title='Tao S, Liu P, Shi Y, Feng Y, Gao J, Chen L, Zhang A, Cheng X, Wei H, Zhang T, Zhang W' class='scea-table'>Tao S, Liu P, Shi Y, Feng Y, Gao J, Chen L, Zhang A, Cheng X, Wei H, Zhang T, Zhang W</div>",,<div title='Genes (Basel). 2022 Feb 20;13(2):374. doi: 10.3390/genes13020374.' class='scea-table'>Genes (Basel). 2022 Feb 20;13(2):374. doi: 10.3390/genes13020374.</div>,<a href='http://dx.doi.org/10.3390/genes13020374'>10.3390/genes13020374</a>,7354,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP224648.h5ad'>scPlantDB</a>,<i>Zea mays</i>
<div title='Arabidopsis uses a molecular grounding mechanism and a biophysical circuit breaker to limit floral abscission signaling' class='scea-table'>Arabidopsis uses a molecular grounding mechanism and a biophysical circuit breaker to limit floral abscission signaling</div>,"<div title='Taylor IW, Patharkar OR, Mijar M, Hsu CW, Baer J, Niederhuth CE, Ohler U, Benfey PN, Walker JC' class='scea-table'>Taylor IW, Patharkar OR, Mijar M, Hsu CW, Baer J, Niederhuth CE, Ohler U, Benfey PN, Walker JC</div>",,<div title='Proc Natl Acad Sci U S A. 2024 Oct 29;121(44):e2405806121. doi: 10.1073/pnas.2405806121. Epub 2024 Oct 25.' class='scea-table'>Proc Natl Acad Sci U S A. 2024 Oct 29;121(44):e2405806121. doi: 10.1073/pnas.2405806121. Epub 2024 Oct 25.</div>,<a href='http://dx.doi.org/10.1073/pnas.2405806121'>10.1073/pnas.2405806121</a>,40666,,,<i>Arabidopsis thaliana</i>
<div title='Dual and spatially resolved drought responses in the Arabidopsis leaf mesophyll revealed by single-cell transcriptomics' class='scea-table'>Dual and spatially resolved drought responses in the Arabidopsis leaf mesophyll revealed by single-cell transcriptomics</div>,"<div title='Tenorio Berrio R, Verhelst E, Eekhout T, Grones C, De Veylder L, De Rybel B, Dubois M' class='scea-table'>Tenorio Berrio R, Verhelst E, Eekhout T, Grones C, De Veylder L, De Rybel B, Dubois M</div>",,<div title='New Phytol. 2025 Mar 3. doi: 10.1111/nph.20446. Online ahead of print.' class='scea-table'>New Phytol. 2025 Mar 3. doi: 10.1111/nph.20446. Online ahead of print.</div>,<a href='http://dx.doi.org/10.1111/nph.20446'>10.1111/nph.20446</a>,152793,,<a href='http://www.single-cell.be/plant/leaf-drought'>VIB Plant sc-Atlas</a>,<i>Arabidopsis thaliana</i>
<div title='Single-cell transcriptomics sheds light on the identity and metabolism of developing leaf cells' class='scea-table'>Single-cell transcriptomics sheds light on the identity and metabolism of developing leaf cells</div>,"<div title='Tenorio Berrio R, Verstaen K, Vandamme N, Pevernagie J, Achon I, Van Duyse J, Van Isterdael G, Saeys Y, De Veylder L, Inze D, Dubois M' class='scea-table'>Tenorio Berrio R, Verstaen K, Vandamme N, Pevernagie J, Achon I, Van Duyse J, Van Isterdael G, Saeys Y, De Veylder L, Inze D, Dubois M</div>",,<div title='Plant Physiol. 2022 Feb 4;188(2):898-918. doi: 10.1093/plphys/kiab489.' class='scea-table'>Plant Physiol. 2022 Feb 4;188(2):898-918. doi: 10.1093/plphys/kiab489.</div>,<a href='http://dx.doi.org/10.1093/plphys/kiab489'>10.1093/plphys/kiab489</a>,1887,,<a href='https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-11006/'>SCEA</a>,<i>Arabidopsis thaliana</i>
<div title='Single-nucleus RNA-seq resolves spatiotemporal developmental trajectories in the tomato shoot apex' class='scea-table'>Single-nucleus RNA-seq resolves spatiotemporal developmental trajectories in the tomato shoot apex</div>,"<div title='Tian C, Du Q, Xu M, Du F, Jiao Y' class='scea-table'>Tian C, Du Q, Xu M, Du F, Jiao Y</div>",,<div title='NA' class='scea-table'>NA</div>,<a href='http://dx.doi.org/10.1101/2020.09.20.305029'>10.1101/2020.09.20.305029</a>,64640,,<a href='https://www.ebi.ac.uk/gxa/sc/experiments/E-ENAD-53/'>SCEA_1</a> <a href='https://www.ebi.ac.uk/gxa/sc/experiments/E-ENAD-54/'>SCEA_2</a>,<i>Solanum lycopersicum</i>
<div title='A guiding role of the Arabidopsis circadian clock in cell differentiation revealed by time-series single-cell RNA sequencing' class='scea-table'>A guiding role of the Arabidopsis circadian clock in cell differentiation revealed by time-series single-cell RNA sequencing</div>,"<div title='Torii K, Inoue K, Bekki K, Haraguchi K, Kubo M, Kondo Y, Suzuki T, Kubota A, Uemoto K, Shimizu H, Saito M, Fukuda H, Araki T, Endo M' class='scea-table'>Torii K, Inoue K, Bekki K, Haraguchi K, Kubo M, Kondo Y, Suzuki T, Kubota A, Uemoto K, Shimizu H, Saito M, Fukuda H, Araki T, Endo M</div>",,<div title='Cell Rep. 2022 Jul 12;40(2):111059. doi: 10.1016/j.celrep.2022.111059.' class='scea-table'>Cell Rep. 2022 Jul 12;40(2):111059. doi: 10.1016/j.celrep.2022.111059.</div>,<a href='http://dx.doi.org/10.1016/j.celrep.2022.111059'>10.1016/j.celrep.2022.111059</a>,n/a,,,<i>Arabidopsis thaliana</i>
<div title='A combinatorial indexing strategy for low-cost epigenomic profiling of plant single cells' class='scea-table'>A combinatorial indexing strategy for low-cost epigenomic profiling of plant single cells</div>,"<div title='Tu X, Marand AP, Schmitz RJ* , Zhong S' class='scea-table'>Tu X, Marand AP, Schmitz RJ* , Zhong S</div>",Yes,<div title='Plant Commun. 2022 Jul 11;3(4):100308. doi: 10.1016/j.xplc.2022.100308. Epub 2022 Mar 2.' class='scea-table'>Plant Commun. 2022 Jul 11;3(4):100308. doi: 10.1016/j.xplc.2022.100308. Epub 2022 Mar 2.</div>,<a href='http://dx.doi.org/10.1016/j.xplc.2022.100308'>10.1016/j.xplc.2022.100308</a>,13576,,,<i>Arabidopsis thaliana</i>
<div title='Single-cell transcriptomics unveils xylem cell development and evolution' class='scea-table'>Single-cell transcriptomics unveils xylem cell development and evolution</div>,"<div title='Tung CC, Kuo SC, Yang CL, Yu JH, Huang CE, Liou PC, Sun YH, Shuai P, Su JC, Ku C, Lin YJ' class='scea-table'>Tung CC, Kuo SC, Yang CL, Yu JH, Huang CE, Liou PC, Sun YH, Shuai P, Su JC, Ku C, Lin YJ</div>",,<div title='Genome Biol. 2023 Jan 9;24(1):3. doi: 10.1186/s13059-022-02845-1.' class='scea-table'>Genome Biol. 2023 Jan 9;24(1):3. doi: 10.1186/s13059-022-02845-1.</div>,<a href='http://dx.doi.org/10.1186/s13059-022-02845-1'>10.1186/s13059-022-02845-1</a>,25166,,,<i>Populus trichocarpa</i>
<div title='Molecular Mechanisms Driving Switch Behavior in Xylem Cell Differentiation' class='scea-table'>Molecular Mechanisms Driving Switch Behavior in Xylem Cell Differentiation</div>,"<div title='Turco GM, Rodriguez-Medina J, Siebert S, Han D, Valderrama-Gomez MA, Vahldick H, Shulse CN, Cole BJ*, Juliano CE, Dickel DE, Savageau MA, Brady SM*' class='scea-table'>Turco GM, Rodriguez-Medina J, Siebert S, Han D, Valderrama-Gomez MA, Vahldick H, Shulse CN, Cole BJ*, Juliano CE, Dickel DE, Savageau MA, Brady SM*</div>",Yes,<div title='Cell Rep. 2019 Jul 9;28(2):342-351.e4. doi: 10.1016/j.celrep.2019.06.041.' class='scea-table'>Cell Rep. 2019 Jul 9;28(2):342-351.e4. doi: 10.1016/j.celrep.2019.06.041.</div>,<a href='http://dx.doi.org/10.1016/j.celrep.2019.06.041'>10.1016/j.celrep.2019.06.041</a>,6727,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP148288.h5ad'>scPlantDB</a> <a href='https://www.ebi.ac.uk/gxa/sc/experiments/E-ENAD-30/'>SCEA</a>,<i>Arabidopsis thaliana</i>
<div title='Polarity-guided uneven mitotic divisions control brassinosteroid activity in proliferating plant root cells' class='scea-table'>Polarity-guided uneven mitotic divisions control brassinosteroid activity in proliferating plant root cells</div>,"<div title='Vukasinovic N, Hsu CW, Marconi M, Li S, Zachary C, Shahan R*, Szekley P, Aardening Z, Vanhoutte I, Ma Q, Pinto L, Krupar P, German N, Zhang J, Simon-Vezo C, Perez-Sancho J, Quijada PC, Zhou Q, Lee LR, Cai J, Bayer EM, Fendrych M, Truernit E, Zhou Y, Savaldi-Goldstein S, Wabnik K, Nolan TM*, Russinova E' class='scea-table'>Vukasinovic N, Hsu CW, Marconi M, Li S, Zachary C, Shahan R*, Szekley P, Aardening Z, Vanhoutte I, Ma Q, Pinto L, Krupar P, German N, Zhang J, Simon-Vezo C, Perez-Sancho J, Quijada PC, Zhou Q, Lee LR, Cai J, Bayer EM, Fendrych M, Truernit E, Zhou Y, Savaldi-Goldstein S, Wabnik K, Nolan TM*, Russinova E</div>",Yes,<div title='Cell. 2025 Mar 6:S0092-8674(25)00196-5. doi: 10.1016/j.cell.2025.02.011. Online ahead of print.' class='scea-table'>Cell. 2025 Mar 6:S0092-8674(25)00196-5. doi: 10.1016/j.cell.2025.02.011. Online ahead of print.</div>,<a href='http://dx.doi.org/10.1016/j.cell.2025.02.011'>10.1016/j.cell.2025.02.011</a>,157175,,,<i>Arabidopsis thaliana</i>
<div title='Cell-specific clock-controlled gene expression program regulates rhythmic fiber cell growth in cotton' class='scea-table'>Cell-specific clock-controlled gene expression program regulates rhythmic fiber cell growth in cotton</div>,"<div title='Wang D, Hu X, Ye H, Wang Y, Yang Q, Liang X, Wang Z, Zhou Y, Wen M, Yuan X, Zheng X, Ye W, Guo B, Yusuyin M, Russinova E, Zhou Y, Wang K' class='scea-table'>Wang D, Hu X, Ye H, Wang Y, Yang Q, Liang X, Wang Z, Zhou Y, Wen M, Yuan X, Zheng X, Ye W, Guo B, Yusuyin M, Russinova E, Zhou Y, Wang K</div>",,<div title='Genome Biol. 2023 Mar 14;24(1):49. doi: 10.1186/s13059-023-02886-0.' class='scea-table'>Genome Biol. 2023 Mar 14;24(1):49. doi: 10.1186/s13059-023-02886-0.</div>,<a href='http://dx.doi.org/10.1186/s13059-023-02886-0'>10.1186/s13059-023-02886-0</a>,39453,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP379192.h5ad'>scPlantDB</a>,<i>Gossypium hirsutum</i>
<div title='Single-cell-type transcriptomic analysis reveals distinct gene expression profiles in wheat guard cells in response to abscisic acid' class='scea-table'>Single-cell-type transcriptomic analysis reveals distinct gene expression profiles in wheat guard cells in response to abscisic acid</div>,"<div title='Wang J, Li Y, Wu T, Miao C, Xie M, Ding B, Li M, Bao S, Chen X, Hu Z, Xie X' class='scea-table'>Wang J, Li Y, Wu T, Miao C, Xie M, Ding B, Li M, Bao S, Chen X, Hu Z, Xie X</div>",,<div title='Funct Plant Biol. 2021 Oct;48(11):1087-1099. doi: 10.1071/FP20368.' class='scea-table'>Funct Plant Biol. 2021 Oct;48(11):1087-1099. doi: 10.1071/FP20368.</div>,<a href='http://dx.doi.org/10.1071/FP20368'>10.1071/FP20368</a>,n/a,,,<i>Triticum aestivum</i>
<div title='An optimized FACS-free single-nucleus RNA sequencing (snRNA-seq) method for plant science research' class='scea-table'>An optimized FACS-free single-nucleus RNA sequencing (snRNA-seq) method for plant science research</div>,"<div title='Wang K, Zhao C, Xiang S, Duan K, Chen X, Guo X, Sahu SK' class='scea-table'>Wang K, Zhao C, Xiang S, Duan K, Chen X, Guo X, Sahu SK</div>",,<div title='Plant Sci. 2023 Jan;326:111535. doi: 10.1016/j.plantsci.2022.111535. Epub 2022 Nov 16.' class='scea-table'>Plant Sci. 2023 Jan;326:111535. doi: 10.1016/j.plantsci.2022.111535. Epub 2022 Nov 16.</div>,<a href='http://dx.doi.org/10.1016/j.plantsci.2022.111535'>10.1016/j.plantsci.2022.111535</a>,19171,,,<i>Arabidopsis thaliana</i>
<div title='The maturation and aging trajectory of Marchantia polymorpha at single-cell resolution' class='scea-table'>The maturation and aging trajectory of Marchantia polymorpha at single-cell resolution</div>,"<div title='Wang L, Wan MC, Liao RY, Xu J, Xu ZG, Xue HC, Mai YX, Wang JW' class='scea-table'>Wang L, Wan MC, Liao RY, Xu J, Xu ZG, Xue HC, Mai YX, Wang JW</div>",,<div title='Dev Cell. 2023 Aug 7;58(15):1429-1444.e6. doi: 10.1016/j.devcel.2023.05.014. Epub 2023 Jun 14.' class='scea-table'>Dev Cell. 2023 Aug 7;58(15):1429-1444.e6. doi: 10.1016/j.devcel.2023.05.014. Epub 2023 Jun 14.</div>,<a href='http://dx.doi.org/10.1016/j.devcel.2023.05.014'>10.1016/j.devcel.2023.05.014</a>,46136,,,<i>Marchantia polymorpha</i>
<div title='Single cell-type transcriptome profiling reveals genes that promote nitrogen fixation in the infected and uninfected cells of legume nodules' class='scea-table'>Single cell-type transcriptome profiling reveals genes that promote nitrogen fixation in the infected and uninfected cells of legume nodules</div>,"<div title='Wang L, Zhou Y, Li R, Liang J, Tian T, Ji J, Chen R, Zhou Y, Fan Q, Ning G, Larkin RM, Becana M, Duanmu D' class='scea-table'>Wang L, Zhou Y, Li R, Liang J, Tian T, Ji J, Chen R, Zhou Y, Fan Q, Ning G, Larkin RM, Becana M, Duanmu D</div>",,<div title='Plant Biotechnol J. 2022 Apr;20(4):616-618. doi: 10.1111/pbi.13778. Epub 2022 Jan 31.' class='scea-table'>Plant Biotechnol J. 2022 Apr;20(4):616-618. doi: 10.1111/pbi.13778. Epub 2022 Jan 31.</div>,<a href='http://dx.doi.org/10.1111/pbi.13778'>10.1111/pbi.13778</a>,n/a,,,<i>Lotus japonicus</i>
<div title='Histological and single-nucleus transcriptome analyses reveal the specialized functions of ligular sclerenchyma cells and key regulators of leaf angle in maize' class='scea-table'>Histological and single-nucleus transcriptome analyses reveal the specialized functions of ligular sclerenchyma cells and key regulators of leaf angle in maize</div>,"<div title='Wang Q, Guo Q, Shi Q, Yang H, Liu M, Niu Y, Quan S, Xu D, Chen X, Li L, Xu W, Kong F, Zhang H, Li P, Li B, Li G' class='scea-table'>Wang Q, Guo Q, Shi Q, Yang H, Liu M, Niu Y, Quan S, Xu D, Chen X, Li L, Xu W, Kong F, Zhang H, Li P, Li B, Li G</div>",,<div title='Mol Plant. 2024 Jun 3;17(6):920-934. doi: 10.1016/j.molp.2024.05.001. Epub 2024 May 7.' class='scea-table'>Mol Plant. 2024 Jun 3;17(6):920-934. doi: 10.1016/j.molp.2024.05.001. Epub 2024 May 7.</div>,<a href='http://dx.doi.org/10.1016/j.molp.2024.05.001'>10.1016/j.molp.2024.05.001</a>,7049,,,<i>Zea mays</i>
<div title='Single-cell transcriptome atlas reveals developmental trajectories and a novel metabolic pathway of catechin esters in tea leaves' class='scea-table'>Single-cell transcriptome atlas reveals developmental trajectories and a novel metabolic pathway of catechin esters in tea leaves</div>,"<div title='Wang Q, Wu Y, Peng A, Cui J, Zhao M, Pan Y, Zhang M, Tian K, Schwab W, Song C' class='scea-table'>Wang Q, Wu Y, Peng A, Cui J, Zhao M, Pan Y, Zhang M, Tian K, Schwab W, Song C</div>",,<div title='Plant Biotechnol J. 2022 Nov;20(11):2089-2106. doi: 10.1111/pbi.13891. Epub 2022 Jul 26.' class='scea-table'>Plant Biotechnol J. 2022 Nov;20(11):2089-2106. doi: 10.1111/pbi.13891. Epub 2022 Jul 26.</div>,<a href='http://dx.doi.org/10.1111/pbi.13891'>10.1111/pbi.13891</a>,16977,,,<i>Camellia sinensis</i>
<div title='ScRNA-seq reveals the spatiotemporal distribution of camptothecin pathway and transposon activity in Camptotheca acuminata shoot apexes and leaves' class='scea-table'>ScRNA-seq reveals the spatiotemporal distribution of camptothecin pathway and transposon activity in Camptotheca acuminata shoot apexes and leaves</div>,"<div title='Wang S, Zhang C, Li Y, Li R, Du K, Sun C, Shen X, Guo B' class='scea-table'>Wang S, Zhang C, Li Y, Li R, Du K, Sun C, Shen X, Guo B</div>",,<div title='Physiol Plant. 2024 Sep-Oct;176(5):e14508. doi: 10.1111/ppl.14508.' class='scea-table'>Physiol Plant. 2024 Sep-Oct;176(5):e14508. doi: 10.1111/ppl.14508.</div>,<a href='http://dx.doi.org/10.1111/ppl.14508'>10.1111/ppl.14508</a>,74858,,,<i>Camptotheca acuminata</i>
<div title='Single-cell transcriptomes reveal spatiotemporal heat stress response in maize roots' class='scea-table'>Single-cell transcriptomes reveal spatiotemporal heat stress response in maize roots</div>,"<div title='Wang T, Wang F, Deng S, Wang K, Feng D, Xu F, Guo W, Yu J, Wu Y, Wuriyanghan H, Li ST, Gu X, Le L, Pu L' class='scea-table'>Wang T, Wang F, Deng S, Wang K, Feng D, Xu F, Guo W, Yu J, Wu Y, Wuriyanghan H, Li ST, Gu X, Le L, Pu L</div>",,<div title='Nat Commun. 2025 Jan 2;16(1):177. doi: 10.1038/s41467-024-55485-3.' class='scea-table'>Nat Commun. 2025 Jan 2;16(1):177. doi: 10.1038/s41467-024-55485-3.</div>,<a href='http://dx.doi.org/10.1038/s41467-024-55485-3'>10.1038/s41467-024-55485-3</a>,35103,,,<i>Zea mays</i>
<div title='Integration of single-nuclei transcriptome and bulk RNA-seq to unravel the role of AhWRKY70 in regulating stem cell development in Arachis hypogaea L' class='scea-table'>Integration of single-nuclei transcriptome and bulk RNA-seq to unravel the role of AhWRKY70 in regulating stem cell development in Arachis hypogaea L</div>,"<div title='Wang X, Wang R, Huo X, Zhou Y, Umer MJ, Zheng Z, Jin W, Huang L, Li H, Yu Q, Li S, Varshney RK, Wang W, Xiao Y, Hong Y, Chen X, Lu Q, Liu H' class='scea-table'>Wang X, Wang R, Huo X, Zhou Y, Umer MJ, Zheng Z, Jin W, Huang L, Li H, Yu Q, Li S, Varshney RK, Wang W, Xiao Y, Hong Y, Chen X, Lu Q, Liu H</div>",,<div title='Plant Biotechnol J. 2025 Mar 13. doi: 10.1111/pbi.70009. Online ahead of print.' class='scea-table'>Plant Biotechnol J. 2025 Mar 13. doi: 10.1111/pbi.70009. Online ahead of print.</div>,<a href='http://dx.doi.org/10.1111/pbi.70009'>10.1111/pbi.70009</a>,29308,,,<i>Arachis hypogaea</i>
<div title='Single-cell transcriptome atlas of the leaf and root of rice seedlings' class='scea-table'>Single-cell transcriptome atlas of the leaf and root of rice seedlings</div>,"<div title='Wang Y, Huan Q, Li K, Qian W' class='scea-table'>Wang Y, Huan Q, Li K, Qian W</div>",,<div title='J Genet Genomics. 2021 Oct 20;48(10):881-898. doi: 10.1016/j.jgg.2021.06.001. Epub 2021 Jun 18.' class='scea-table'>J Genet Genomics. 2021 Oct 20;48(10):881-898. doi: 10.1016/j.jgg.2021.06.001. Epub 2021 Jun 18.</div>,<a href='http://dx.doi.org/10.1016/j.jgg.2021.06.001'>10.1016/j.jgg.2021.06.001</a>,232384,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/CRA004082.h5ad'>scPlantDB</a>,<i>Oryza sativa</i>
